O,D,weight
2301109,2300705,706.0
2301109,2300754,100.0
2301109,2300903,48.0
2301109,2301000,4093.0
2301109,2301208,71.0
2301109,2301257,21.0
2301109,2301604,38.0
2301109,2301851,76.0
2301109,2301901,75.0
2301109,2301950,67.0
2301109,2302008,29.0
2301109,2302057,63.0
2301109,2302107,114.0
2301109,2302206,15013.0
2301109,2302305,54.0
2301109,2302404,139.0
2301109,2302503,290.0
2301109,2302602,313.0
2301109,2302701,44.0
2301109,2302800,259.0
2301109,2302909,29.0
2301109,2303006,25.0
2301109,2303303,8.0
2301109,2303402,33.0
2301109,2303501,4724.0
2301109,2303709,1990.0
2301109,2303808,43.0
2301109,2303907,17.0
2301109,2303931,365.0
2301109,2303956,84.0
2301109,2304004,56.0
2301109,2304103,171.0
2301109,2304202,188.0
2301109,2304251,199.0
2301109,2304277,50.0
2301109,2304285,5502.0
2301109,2304301,20.0
2301109,2304350,19.0
2301109,2304400,45201.0
2301109,2304459,21563.0
2301109,2304509,16.0
2301109,2304608,12.0
2301109,2304657,167.0
2301109,2304707,80.0
2301109,2304954,39.0
2301109,2305001,124.0
2301109,2305100,9.0
2301109,2305233,2728.0
2301109,2305266,96.0
2301109,2305308,51.0
2301109,2305332,508.0
2301109,2305357,18239.0
2301109,2305407,133.0
2301109,2305506,555.0
2301109,2305605,72.0
2301109,2305654,8.0
2301109,2305704,2.0
2301109,2305803,93.0
2301109,2305902,44.0
2301109,2306009,278.0
2301109,2306207,9426.0
2301109,2306256,823.0
2301109,2306306,54.0
2301109,2306405,217.0
2301109,2306504,30.0
2301109,2306553,747.0
2301109,2306702,254.0
2301109,2306801,372.0
2301109,2306900,1068.0
2301109,2307007,10323.0
2301109,2307254,95.0
2301109,2307304,1923.0
2301109,2307403,34.0
2301109,2307502,5.0
2301109,2307601,6236.0
2301109,2307635,8.0
2301109,2307650,15030.0
2301109,2307700,411.0
2301109,2307809,80.0
2301109,2308005,51.0
2301109,2308104,39.0
2301109,2308203,19.0
2301109,2308302,9.0
2301109,2308351,15.0
2301109,2308401,38.0
2301109,2308500,10.0
2301109,2308609,56.0
2301109,2308708,4454.0
2301109,2308906,4.0
2301109,2309102,37.0
2301109,2309300,122.0
2301109,2309409,19.0
2301109,2309458,164.0
2301109,2309508,27.0
2301109,2309607,2660.0
2301109,2309706,284.0
2301109,2309805,14.0
2301109,2310001,4207.0
2301109,2310209,118.0
2301109,2310258,212.0
2301109,2310308,21.0
2301109,2310407,67.0
2301109,2310506,19.0
2301109,2310704,38.0
2301109,2310803,185.0
2301109,2310852,1333.0
2301109,2310951,1.0
2301109,2311231,57.0
2301109,2311306,2631.0
2301109,2311355,53.0
2301109,2311405,232.0
2301109,2311504,1298.0
2301109,2311603,51.0
2301109,2311801,10772.0
2301109,2312106,1.0
2301109,2312205,261.0
2301109,2312304,274.0
